"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2022","1,167.82","1,183.81","1,194.49","1,152.53","296.84K","-1.25%"
"12/18/2022","1,182.64","1,187.17","1,196.53","1,172.80","252.19K","-0.38%"
"12/17/2022","1,187.15","1,165.99","1,189.17","1,162.75","328.93K","1.76%"
"12/16/2022","1,166.67","1,266.11","1,279.27","1,156.86","751.43K","-7.86%"
"12/15/2022","1,266.26","1,307.42","1,311.05","1,260.88","390.14K","-3.13%"
"12/14/2022","1,307.24","1,319.57","1,348.41","1,302.73","554.42K","-1.02%"
"12/13/2022","1,320.73","1,275.45","1,344.99","1,255.76","659.38K","3.59%"
"12/12/2022","1,274.98","1,262.18","1,278.35","1,241.40","363.82K","0.92%"
"12/11/2022","1,263.39","1,266.34","1,282.82","1,258.63","180.41K","-0.25%"
"12/10/2022","1,266.61","1,262.87","1,281.17","1,259.97","182.25K","0.30%"
"12/09/2022","1,262.85","1,279.91","1,290.97","1,257.02","405.99K","-1.36%"
"12/08/2022","1,280.24","1,231.58","1,289.71","1,223.24","406.66K","4.00%"
"12/07/2022","1,231.03","1,271.57","1,275.18","1,221.10","398.58K","-3.16%"
"12/06/2022","1,271.25","1,259.44","1,273.99","1,243.75","301.65K","0.93%"
"12/05/2022","1,259.54","1,279.17","1,303.84","1,248.68","391.61K","-1.58%"
"12/04/2022","1,279.73","1,240.11","1,284.19","1,240.11","324.79K","3.17%"
"12/03/2022","1,240.44","1,295.88","1,302.56","1,237.83","347.14K","-4.26%"
"12/02/2022","1,295.69","1,276.14","1,295.76","1,266.13","371.59K","1.54%"
"12/01/2022","1,276.04","1,293.97","1,295.80","1,263.57","430.06K","-1.42%"
"11/30/2022","1,294.39","1,216.66","1,304.93","1,213.42","815.68K","6.40%"
"11/29/2022","1,216.54","1,167.70","1,226.49","1,159.76","512.06K","4.18%"
"11/28/2022","1,167.71","1,192.32","1,199.06","1,151.99","478.86K","-2.15%"
"11/27/2022","1,193.35","1,205.23","1,222.80","1,191.11","286.39K","-0.98%"
"11/26/2022","1,205.14","1,199.48","1,229.16","1,196.93","379.95K","0.59%"
"11/25/2022","1,198.08","1,203.38","1,204.75","1,172.72","391.32K","-0.47%"
"11/24/2022","1,203.74","1,184.69","1,217.43","1,180.90","486.12K","1.51%"
"11/23/2022","1,185.79","1,138.12","1,189.13","1,128.59","637.35K","4.04%"
"11/22/2022","1,139.78","1,107.10","1,141.61","1,077.90","748.98K","2.92%"
"11/21/2022","1,107.49","1,142.49","1,143.96","1,082.01","922.55K","-3.10%"
"11/20/2022","1,142.88","1,217.25","1,226.13","1,135.72","531.15K","-6.14%"
"11/19/2022","1,217.67","1,207.73","1,231.15","1,206.81","209.69K","0.86%"
"11/18/2022","1,207.34","1,222.07","1,225.41","1,201.53","363.37K","0.03%"
"11/17/2022","1,207.00","1,217.54","1,227.76","1,185.58","532.95K","0.07%"
"11/16/2022","1,206.19","1,252.81","1,267.62","1,188.81","666.32K","-3.77%"
"11/15/2022","1,253.46","1,243.50","1,289.21","1,235.47","632.85K","0.87%"
"11/14/2022","1,242.63","1,222.09","1,288.97","1,175.37","934.59K","1.74%"
"11/13/2022","1,221.41","1,256.95","1,274.23","1,205.61","547.46K","-2.77%"
"11/12/2022","1,256.22","1,288.51","1,291.37","1,239.33","547.79K","-2.52%"
"11/11/2022","1,288.72","1,298.33","1,307.24","1,202.86","1.31M","-0.80%"
"11/10/2022","1,299.17","1,101.02","1,347.07","1,089.03","1.98M","18.03%"
"11/09/2022","1,100.68","1,332.97","1,337.08","1,076.30","2.50M","-17.57%"
"11/08/2022","1,335.23","1,568.03","1,576.01","1,244.08","2.34M","-14.82%"
"11/07/2022","1,567.46","1,567.22","1,608.00","1,547.17","642.61K","-0.23%"
"11/06/2022","1,571.03","1,626.78","1,637.29","1,565.64","414.50K","-3.44%"
"11/05/2022","1,627.00","1,645.31","1,664.42","1,623.52","351.23K","-1.09%"
"11/04/2022","1,645.01","1,530.81","1,666.22","1,528.55","935.52K","7.45%"
"11/03/2022","1,531.01","1,517.67","1,558.74","1,515.74","560.29K","0.79%"
"11/02/2022","1,519.08","1,578.66","1,618.85","1,503.34","981.52K","-3.83%"
"11/01/2022","1,579.63","1,572.75","1,609.23","1,564.67","527.44K","0.43%"
"10/31/2022","1,572.86","1,590.71","1,634.10","1,550.70","810.30K","-1.11%"
"10/30/2022","1,590.45","1,619.92","1,638.41","1,577.24","476.15K","-1.80%"
"10/29/2022","1,619.61","1,554.03","1,660.00","1,548.82","914.09K","4.20%"
"10/28/2022","1,554.40","1,514.12","1,572.59","1,490.12","859.14K","2.66%"
"10/27/2022","1,514.17","1,564.83","1,575.90","1,508.23","869.62K","-3.32%"
"10/26/2022","1,566.13","1,461.00","1,589.69","1,458.64","1.24M","7.30%"
"10/25/2022","1,459.53","1,343.62","1,522.29","1,335.36","1.13M","8.61%"
"10/24/2022","1,343.88","1,363.68","1,369.31","1,324.22","611.84K","-1.49%"
"10/23/2022","1,364.19","1,314.04","1,370.93","1,301.77","432.28K","3.85%"
"10/22/2022","1,313.62","1,300.42","1,318.74","1,294.59","221.77K","1.07%"
"10/21/2022","1,299.75","1,282.54","1,306.24","1,257.94","468.12K","1.32%"
"10/20/2022","1,282.82","1,285.36","1,310.45","1,272.75","428.51K","-0.20%"
"10/19/2022","1,285.34","1,310.75","1,313.47","1,282.48","368.62K","-1.94%"
"10/18/2022","1,310.81","1,332.72","1,341.21","1,287.51","572.72K","-1.55%"
"10/17/2022","1,331.40","1,305.59","1,338.38","1,296.43","459.86K","1.95%"
"10/16/2022","1,305.95","1,274.67","1,314.51","1,274.67","293.27K","2.43%"
"10/15/2022","1,274.93","1,297.08","1,301.47","1,264.87","287.11K","-1.68%"
"10/14/2022","1,296.75","1,287.28","1,342.04","1,284.09","669.75K","0.73%"
"10/13/2022","1,287.30","1,294.50","1,299.70","1,196.64","945.59K","-0.56%"
"10/12/2022","1,294.57","1,280.20","1,305.50","1,275.79","369.73K","1.14%"
"10/11/2022","1,279.96","1,288.36","1,297.53","1,269.37","429.42K","-0.78%"
"10/10/2022","1,290.03","1,323.14","1,337.56","1,288.65","393.66K","-2.52%"
"10/09/2022","1,323.42","1,315.28","1,328.54","1,308.18","186.23K","0.64%"
"10/08/2022","1,315.05","1,330.77","1,336.65","1,304.07","203.43K","-1.21%"
"10/07/2022","1,331.09","1,351.95","1,361.20","1,319.21","492.04K","-1.56%"
"10/06/2022","1,352.16","1,351.51","1,382.99","1,347.80","573.96K","0.01%"
"10/05/2022","1,352.05","1,361.79","1,364.00","1,317.54","483.49K","-0.69%"
"10/04/2022","1,361.50","1,323.22","1,367.13","1,318.77","476.23K","2.88%"
"10/03/2022","1,323.40","1,277.01","1,329.17","1,266.93","483.78K","3.75%"
"10/02/2022","1,275.52","1,311.79","1,317.41","1,272.35","371.50K","-2.76%"
"10/01/2022","1,311.78","1,327.78","1,333.57","1,303.19","252.11K","-1.27%"
"09/30/2022","1,328.72","1,336.13","1,372.48","1,316.51","740.74K","-0.55%"
"09/29/2022","1,336.10","1,337.94","1,351.60","1,289.64","770.56K","-0.09%"
"09/28/2022","1,337.35","1,329.00","1,354.65","1,261.29","919.43K","0.69%"
"09/27/2022","1,328.17","1,336.22","1,399.49","1,305.56","860.65K","-0.66%"
"09/26/2022","1,337.01","1,295.18","1,338.82","1,279.67","798.76K","3.31%"
"09/25/2022","1,294.21","1,316.85","1,335.71","1,271.90","515.97K","-1.73%"
"09/24/2022","1,317.00","1,327.86","1,348.92","1,308.06","517.13K","-0.83%"
"09/23/2022","1,328.00","1,326.63","1,356.61","1,265.29","974.02K","0.15%"
"09/22/2022","1,325.99","1,246.73","1,346.25","1,237.95","904.30K","6.26%"
"09/21/2022","1,247.90","1,323.24","1,388.31","1,222.32","1.19M","-5.70%"
"09/20/2022","1,323.32","1,375.96","1,384.42","1,315.30","658.12K","-3.83%"
"09/19/2022","1,376.00","1,334.82","1,391.48","1,284.75","974.88K","3.06%"
"09/18/2022","1,335.11","1,469.13","1,469.13","1,327.28","804.34K","-9.10%"
"09/17/2022","1,468.69","1,433.11","1,475.05","1,409.44","421.59K","2.42%"
"09/16/2022","1,433.95","1,474.94","1,483.34","1,411.08","693.48K","-2.62%"
"09/15/2022","1,472.52","1,632.21","1,653.59","1,461.21","1.34M","-10.09%"
"09/14/2022","1,637.85","1,574.63","1,646.08","1,556.95","764.36K","4.03%"
"09/13/2022","1,574.39","1,716.08","1,751.19","1,562.19","1.13M","-8.28%"
"09/12/2022","1,716.43","1,762.70","1,782.70","1,694.02","631.59K","-2.86%"
"09/11/2022","1,766.99","1,775.84","1,786.76","1,722.53","409.26K","-0.41%"
"09/10/2022","1,774.35","1,718.31","1,788.04","1,707.77","411.05K","3.23%"
"09/09/2022","1,718.78","1,635.36","1,743.38","1,631.22","837.41K","5.14%"
"09/08/2022","1,634.78","1,630.41","1,660.86","1,596.00","645.38K","0.32%"
"09/07/2022","1,629.57","1,560.30","1,657.16","1,493.38","850.81K","4.60%"
"09/06/2022","1,557.84","1,618.72","1,686.30","1,555.87","1.01M","-3.69%"
"09/05/2022","1,617.49","1,579.06","1,628.78","1,557.67","503.49K","2.45%"
"09/04/2022","1,578.86","1,557.35","1,580.72","1,541.18","296.58K","1.37%"
"09/03/2022","1,557.57","1,574.65","1,581.55","1,536.06","321.44K","-1.12%"
"09/02/2022","1,575.23","1,586.17","1,647.58","1,547.63","919.04K","-0.65%"
"09/01/2022","1,585.48","1,554.56","1,597.48","1,514.78","728.68K","1.95%"
"08/31/2022","1,555.18","1,525.06","1,616.98","1,525.06","949.31K","2.10%"
"08/30/2022","1,523.22","1,551.63","1,605.36","1,475.59","1.00M","-1.89%"
"08/29/2022","1,552.52","1,428.39","1,559.37","1,424.49","826.49K","8.86%"
"08/28/2022","1,426.20","1,491.07","1,507.95","1,424.63","544.82K","-4.33%"
"08/27/2022","1,490.76","1,508.26","1,518.12","1,449.19","756.59K","-1.14%"
"08/26/2022","1,507.97","1,694.51","1,703.41","1,490.70","1.15M","-11.05%"
"08/25/2022","1,695.34","1,655.87","1,720.89","1,654.73","602.95K","2.34%"
"08/24/2022","1,656.64","1,665.31","1,691.29","1,606.04","744.71K","-0.53%"
"08/23/2022","1,665.40","1,624.28","1,673.32","1,564.31","940.25K","2.37%"
"08/22/2022","1,626.83","1,617.45","1,627.12","1,531.89","940.86K","0.53%"
"08/21/2022","1,618.23","1,576.03","1,644.87","1,563.92","780.66K","2.71%"
"08/20/2022","1,575.58","1,609.01","1,654.81","1,525.49","915.14K","-2.11%"
"08/19/2022","1,609.52","1,846.19","1,846.91","1,607.66","1.42M","-12.84%"
"08/18/2022","1,846.56","1,834.25","1,880.27","1,822.06","605.82K","0.67%"
"08/17/2022","1,834.25","1,877.71","1,956.78","1,821.01","951.83K","-2.26%"
"08/16/2022","1,876.68","1,898.49","1,914.06","1,856.40","622.79K","-1.24%"
"08/15/2022","1,900.25","1,936.25","2,012.06","1,873.46","949.19K","-1.80%"
"08/14/2022","1,935.03","1,983.08","2,028.43","1,909.47","569.54K","-2.45%"
"08/13/2022","1,983.54","1,957.75","2,019.01","1,946.62","695.89K","1.33%"
"08/12/2022","1,957.55","1,880.66","1,961.46","1,856.91","717.57K","4.11%"
"08/11/2022","1,880.29","1,852.61","1,930.68","1,850.70","1.11M","1.45%"
"08/10/2022","1,853.42","1,702.45","1,881.18","1,657.55","1.32M","8.85%"
"08/09/2022","1,702.80","1,777.56","1,789.61","1,668.56","818.27K","-4.25%"
"08/08/2022","1,778.35","1,699.74","1,813.17","1,694.81","781.51K","4.59%"
"08/07/2022","1,700.27","1,690.64","1,728.97","1,669.40","440.09K","0.57%"
"08/06/2022","1,690.56","1,735.36","1,749.44","1,687.95","523.51K","-2.72%"
"08/05/2022","1,737.91","1,608.25","1,740.29","1,605.76","1.01M","8.15%"
"08/04/2022","1,606.94","1,616.55","1,661.11","1,581.34","735.60K","-0.69%"
"08/03/2022","1,618.04","1,630.76","1,682.28","1,591.57","777.72K","-0.82%"
"08/02/2022","1,631.44","1,631.57","1,675.49","1,559.54","1.08M","0.08%"
